Frequency(ppm);Intensity
-51.4351;-1.30732523913776
-51.41539;-1.31213494889402
-51.39569;-1.31583898517573
-51.37598;-1.31573529079595
-51.35627;-1.31236218995197
-51.33657;-1.30973454421563
-51.31686;-1.31249782508154
-51.29716;-1.31536837273637
-51.27745;-1.31630420533727
-51.25774;-1.31905114223393
-51.23804;-1.32003785926555
-51.21833;-1.31437570938732
-51.19862;-1.30893525311279
-51.17892;-1.30818402247301
-51.15921;-1.30948680959602
-51.1395;-1.31272681515055
-51.1198;-1.31344372710589
-51.10009;-1.31269996753781
-51.08039;-1.3112791448865
-51.06068;-1.30700876470686
-51.04097;-1.30398835932429
-51.02127;-1.30730441496014
-51.00156;-1.31131058067001
-50.98185;-1.3106518052263
-50.96215;-1.31032226902328
-50.94244;-1.30863893894367
-50.92273;-1.30967617690558
-50.90303;-1.31514456287189
-50.88332;-1.31869989641586
-50.86361;-1.31754251558692
-50.84391;-1.31695792009029
-50.8242;-1.32022436913315
-50.8045;-1.326196317419
-50.78479;-1.32920527526958
-50.76508;-1.32700890676219
-50.74538;-1.31974083909015
-50.72567;-1.31588455529355
-50.70596;-1.31348708656304
-50.68626;-1.30694525037255
-50.66655;-1.30059163724905
-50.64684;-1.30131657619508
-50.62714;-1.30524810602667
-50.60743;-1.30831478857366
-50.58772;-1.30882015961392
-50.56802;-1.30841433549453
-50.54831;-1.30948837354808
-50.52861;-1.30949359510021
-50.5089;-1.31118137829761
-50.48919;-1.31433435799447
-50.46949;-1.31467107242766
-50.44978;-1.31233837261195
-50.43007;-1.31190592836794
-50.41037;-1.31382885283529
-50.39066;-1.31410696686517
-50.37095;-1.31505601973573
-50.35125;-1.31522555817161
-50.33154;-1.31564386967913
-50.31184;-1.31715121190113
-50.29213;-1.31991485261644
-50.27242;-1.32133364869784
-50.25272;-1.31748803030174
-50.23301;-1.31184257068415
-50.2133;-1.3071302490637
-50.1936;-1.30543404497417
-50.17389;-1.30904612926108
-50.15418;-1.31349960554516
-50.13448;-1.31435705295617
-50.11477;-1.31214603259194
-50.09506;-1.30753749412022
-50.07536;-1.30317755854792
-50.05565;-1.30366424789672
-50.03595;-1.30653547985076
-50.01624;-1.30964059078315
