Frequency(ppm);Intensity
-51.4351;-1.11268483940189
-51.41539;-1.11677812063912
-51.39569;-1.11800694709595
-51.37598;-1.1168709189017
-51.35627;-1.11314119902686
-51.33657;-1.10958438649105
-51.31686;-1.11077356808442
-51.29716;-1.11464806682392
-51.27745;-1.11751364382496
-51.25774;-1.11670858417315
-51.23804;-1.11374258205857
-51.21833;-1.11042705063199
-51.19862;-1.11029073344984
-51.17892;-1.11035157946508
-51.15921;-1.11014913598466
-51.1395;-1.106659459468
-51.1198;-1.10787395817505
-51.10009;-1.11596273510293
-51.08039;-1.12435365231155
-51.06068;-1.12902644264402
-51.04097;-1.12714402870189
-51.02127;-1.12124066560754
-51.00156;-1.11644930877199
-50.98185;-1.11497642057428
-50.96215;-1.11565411291625
-50.94244;-1.11426142977671
-50.92273;-1.1123306209502
-50.90303;-1.11001878168289
-50.88332;-1.10631652112637
-50.86361;-1.10579344641218
-50.84391;-1.10784103624598
-50.8242;-1.10788862814166
-50.8045;-1.10449880233093
-50.78479;-1.10526780548136
-50.76508;-1.1074638919926
-50.74538;-1.10705997649701
-50.72567;-1.10538630608115
-50.70596;-1.10209645611293
-50.68626;-1.09871974707237
-50.66655;-1.09830018659294
-50.64684;-1.10139791081228
-50.62714;-1.10215066434555
-50.60743;-1.09835802224688
-50.58772;-1.09555892095328
-50.56802;-1.09827227911598
-50.54831;-1.10078582239863
-50.52861;-1.10224324408776
-50.5089;-1.10206208390928
-50.48919;-1.10031534990761
-50.46949;-1.10071425635773
-50.44978;-1.10687906768332
-50.43007;-1.11227873401338
-50.41037;-1.1163944113102
-50.39066;-1.11691129110938
-50.37095;-1.11172954439814
-50.35125;-1.10433455592258
-50.33154;-1.10124972189756
-50.31184;-1.10276536558071
-50.29213;-1.10601683681157
-50.27242;-1.10940986065967
-50.25272;-1.11023164947385
-50.23301;-1.10720157360515
-50.2133;-1.10794552930245
-50.1936;-1.11067972090633
-50.17389;-1.11209849845396
-50.15418;-1.11244521393989
-50.13448;-1.11283248354834
-50.11477;-1.11562100766391
-50.09506;-1.11745168990732
-50.07536;-1.11552196982013
-50.05565;-1.11258392878911
-50.03595;-1.10913619413499
-50.01624;-1.10728034329282
-49.99653;-1.10467155303675
-49.97683;-1.10335647376953
-49.95712;-1.10449202676189
-49.93741;-1.10487964069126
-49.91771;-1.101794431758
-49.898;-1.10131476594342
-49.87829;-1.10290267008983
-49.85859;-1.10335795935165
-49.83888;-1.10440068768489
-49.81917;-1.10440109303804
-49.79947;-1.10306744075196
-49.77976;-1.10187951651594
-49.76006;-1.10335992414639
-49.74035;-1.10597364583741
-49.72064;-1.10666164583768
-49.70094;-1.1052920652916
-49.68123;-1.10178230572925
-49.66152;-1.09370982686197
-49.64182;-1.08782550995339
-49.62211;-1.08952679038348
-49.6024;-1.09180486590242
-49.5827;-1.09345392693826
-49.56299;-1.09622075879144
-49.54329;-1.09705807303521
-49.52358;-1.09653722201039
-49.50387;-1.10135966278312
-49.48417;-1.1096937001831
-49.46446;-1.11338561567532
-49.44475;-1.11215404512671
-49.42505;-1.11067541778707
-49.40534;-1.11124803310746
-49.38563;-1.11244300624686
-49.36592;-1.11047729571079
-49.34622;-1.10747508565846
-49.32651;-1.1052319236131
-49.3068;-1.1023688986435
-49.2871;-1.09878368664646
-49.2674;-1.09981377066479
-49.24769;-1.10495316410939
-49.22798;-1.10821772646316
-49.20827;-1.10663283603865
-49.18857;-1.10224540607746
-49.16886;-1.09749580969853
-49.14915;-1.09464980083361
-49.12945;-1.09165778124818
-49.10974;-1.08903433883213
-49.09003;-1.09009861931824
-49.07033;-1.09410139916836
-49.05062;-1.09869818503626
-49.03092;-1.09813654488359
-49.01121;-1.09429957311318
-48.9915;-1.09225030111126
-48.9718;-1.0904945669609
-48.95209;-1.09161112163452
-48.93238;-1.09307306766489
-48.91268;-1.09386413578487
-48.89297;-1.09564785514318
-48.87326;-1.0990059697159
-48.85356;-1.09641014317916
-48.83385;-1.09209046240533
-48.81414;-1.09116061271615
-48.79444;-1.08717307795709
-48.77473;-1.0857623237836
-48.75503;-1.08885179133718
-48.73532;-1.09205152959131
-48.71561;-1.09501902827165
-48.69591;-1.09753732287902
-48.6762;-1.09934589942996
-48.65649;-1.09817982056705
-48.63679;-1.09643657378889
-48.61708;-1.0983347589848
-48.59737;-1.10100018360854
-48.57767;-1.1033632915314
-48.55796;-1.10429493844053
-48.53825;-1.104073249301
-48.51855;-1.10609743415571
-48.49884;-1.109096355201
-48.47914;-1.10750312760365
-48.45943;-1.10307645738582
-48.43972;-1.10021315804261
-48.42002;-1.09988083061061
-48.40031;-1.1019357553061
-48.3806;-1.10498883528128
-48.3609;-1.10559015270492
-48.34119;-1.10151365033743
-48.32148;-1.09597117783303
-48.30178;-1.09155409274426
-48.28207;-1.09191704664252
-48.26237;-1.09325668833982
-48.24266;-1.09311161489931
-48.22295;-1.09297308204515
-48.20325;-1.09276646756738
-48.18354;-1.0943247844278
-48.16383;-1.09668199606577
-48.14413;-1.09929519089602
-48.12442;-1.10286834382617
-48.10471;-1.10507166734659
-48.08501;-1.10815909359468
-48.0653;-1.10975861901465
-48.04559;-1.11045992176399
-48.02589;-1.11085887864683
-48.00618;-1.10620401609929
-47.98648;-1.10093169420128
-47.96677;-1.09814573731485
-47.94706;-1.09881870835489
-47.92736;-1.10438224585262
-47.90765;-1.10770189588399
-47.88794;-1.10614183988385
-47.86824;-1.10302313194733
-47.84853;-1.09901091221978
-47.82882;-1.09525270724066
-47.80912;-1.09042644108699
-47.78941;-1.08809316464602
-47.7697;-1.08935703368468
-47.75;-1.09240478798306
-47.73029;-1.09459765041397
-47.71059;-1.09434985959505
-47.69088;-1.09286216892074
-47.67117;-1.08905332738369
-47.65147;-1.08445629259775
-47.63176;-1.07997297390162
-47.61205;-1.07780291646186
-47.59235;-1.07742428628133
-47.57264;-1.07655674727516
-47.55293;-1.08143726621578
-47.53323;-1.08903881033298
-47.51352;-1.09237455030303
-47.49382;-1.0930229670562
-47.47411;-1.09268299901867
-47.4544;-1.08749711806366
-47.4347;-1.08282340829169
-47.41499;-1.08431146739996
-47.39528;-1.08869525299525
-47.37558;-1.09168038286319
-47.35587;-1.09288087499627
-47.33616;-1.09535477772122
-47.31646;-1.09587705674792
-47.29675;-1.09300491868349
-47.27704;-1.08909908235971
-47.25734;-1.08691715958814
-47.23763;-1.08758709990858
-47.21793;-1.08839688653827
-47.19822;-1.08862699271948
-47.17851;-1.08838422415968
-47.15881;-1.08902012572052
-47.1391;-1.08805185456835
-47.11939;-1.08540461300411
-47.09969;-1.08824964606579
-47.07998;-1.0925503590218
-47.06027;-1.09469703342755
-47.04057;-1.09589538521241
-47.02086;-1.10007347617946
-47.00115;-1.10608640560314
-46.98145;-1.10778312512051
-46.96174;-1.10293176156436
-46.94204;-1.09602884349843
-46.92233;-1.09333326794364
-46.90262;-1.0928923811691
-46.88292;-1.09016792159153
-46.86321;-1.0870471540408
-46.8435;-1.08385741583013
-46.8238;-1.08178502897506
-46.80409;-1.08261243890598
-46.78438;-1.08520810769742
-46.76468;-1.08645265079902
-46.74497;-1.09007704688894
-46.72527;-1.0931193870495
-46.70556;-1.09152722935016
-46.68585;-1.08988061311111
-46.66615;-1.09005665215453
-46.64644;-1.09306027837688
-46.62673;-1.09580559825609
-46.60703;-1.09681068262197
-46.58732;-1.09978125166787
