Frequency(ppm);Intensity
-51.4351;-1.85543726280745
-51.41539;-1.85722716830351
-51.39569;-1.8622043489375
-51.37598;-1.86464982081386
-51.35627;-1.86499026811002
-51.33657;-1.86628265037596
-51.31686;-1.86618682117544
-51.29716;-1.8655288158805
-51.27745;-1.86419143315256
-51.25774;-1.86339790730109
-51.23804;-1.8646131348918
-51.21833;-1.86764264284776
-51.19862;-1.87230657719779
-51.17892;-1.87657609959681
-51.15921;-1.87537606901905
-51.1395;-1.87196375350062
-51.1198;-1.86775021678463
-51.10009;-1.86383259536521
-51.08039;-1.85979538148026
-51.06068;-1.85747304355547
-51.04097;-1.85902708198765
-51.02127;-1.86198955665173
-51.00156;-1.86248238994558
-50.98185;-1.86242906914294
-50.96215;-1.86273404693996
-50.94244;-1.86411117680144
-50.92273;-1.8684006937973
-50.90303;-1.86959035112677
-50.88332;-1.86540420227691
-50.86361;-1.86201452618644
-50.84391;-1.86073269023956
-50.8242;-1.85867361268387
-50.8045;-1.85803968022859
-50.78479;-1.85874649292772
-50.76508;-1.85822969111642
-50.74538;-1.85664010529055
-50.72567;-1.85254441594751
-50.70596;-1.85138718030951
-50.68626;-1.85384834366698
-50.66655;-1.8574048665438
-50.64684;-1.85968929000331
-50.62714;-1.85867772075955
-50.60743;-1.85476652603354
-50.58772;-1.85209841125673
-50.56802;-1.85215214245005
-50.54831;-1.85225638119538
-50.52861;-1.8509272363343
-50.5089;-1.85021464624834
-50.48919;-1.84967034425684
-50.46949;-1.8500307251948
-50.44978;-1.8533897667562
-50.43007;-1.85649217543256
-50.41037;-1.85363069323232
-50.39066;-1.84684196859912
-50.37095;-1.84437365144066
-50.35125;-1.84638179388336
-50.33154;-1.85012640464892
-50.31184;-1.8538676556706
-50.29213;-1.85603330116643
-50.27242;-1.85965004903802
-50.25272;-1.86388150998644
-50.23301;-1.86364701941717
-50.2133;-1.86101070905427
-50.1936;-1.85627074977706
-50.17389;-1.85119033822662
-50.15418;-1.85433566036385
-50.13448;-1.85894658121031
-50.11477;-1.86206868849367
-50.09506;-1.86271231142439
-50.07536;-1.85624218522769
-50.05565;-1.84740555030842
-50.03595;-1.84379806780723
-50.01624;-1.84347392888525
-49.99653;-1.84540440498678
-49.97683;-1.84904916790106
-49.95712;-1.85232113361581
-49.93741;-1.85029494807278
-49.91771;-1.84722749252294
-49.898;-1.84659572644272
-49.87829;-1.84832873394302
-49.85859;-1.84981456666174
-49.83888;-1.85061575002744
-49.81917;-1.85216416945619
-49.79947;-1.85357566602293
-49.77976;-1.85185885255975
-49.76006;-1.85188056752601
-49.74035;-1.85615916603167
-49.72064;-1.86374091370861
-49.70094;-1.86947033917529
-49.68123;-1.87114290173296
-49.66152;-1.86894729685164
-49.64182;-1.86266928226984
-49.62211;-1.85551299863884
-49.6024;-1.84925185516479
-49.5827;-1.84719865824789
-49.56299;-1.85134761675832
-49.54329;-1.85565506315021
-49.52358;-1.85248095057234
-49.50387;-1.84916601222262
-49.48417;-1.85183887833493
-49.46446;-1.85940934167061
-49.44475;-1.86414813848829
-49.42505;-1.85834215788575
-49.40534;-1.84924050227878
-49.38563;-1.84412193223639
-49.36592;-1.84458450907854
-49.34622;-1.84707385849022
-49.32651;-1.84868741804278
-49.3068;-1.84931711478517
-49.2871;-1.84846690276693
-49.2674;-1.84879947667466
-49.24769;-1.85179599375463
-49.22798;-1.85327267943479
-49.20827;-1.85170722598431
-49.18857;-1.85093356662154
-49.16886;-1.8521160276658
-49.14915;-1.85158931788968
-49.12945;-1.84824462976052
-49.10974;-1.84388050156792
-49.09003;-1.83912878636985
-49.07033;-1.83433647209751
-49.05062;-1.83338154066679
-49.03092;-1.83219046150123
-49.01121;-1.83219352031964
-48.9915;-1.83645210520827
-48.9718;-1.83931234644955
-48.95209;-1.83865346376349
-48.93238;-1.83773657583984
-48.91268;-1.84008289975312
-48.89297;-1.84519005764554
-48.87326;-1.84529292444138
-48.85356;-1.84000295418556
-48.83385;-1.8350894567817
-48.81414;-1.83516462712252
-48.79444;-1.83494993480357
-48.77473;-1.83821392556079
-48.75503;-1.84483902982094
-48.73532;-1.85012657949716
-48.71561;-1.85183812222803
-48.69591;-1.8523702640445
-48.6762;-1.85234470268941
-48.65649;-1.85067068265455
-48.63679;-1.84802166244083
-48.61708;-1.84726781626729
-48.59737;-1.84749064632901
-48.57767;-1.84492545444171
-48.55796;-1.83961768233149
-48.53825;-1.83840210411162
-48.51855;-1.83661411960253
-48.49884;-1.83407173353268
-48.47914;-1.83425723384323
-48.45943;-1.83912613209018
-48.43972;-1.84529923914812
-48.42002;-1.85049916064947
-48.40031;-1.85101957946585
-48.3806;-1.84575618426246
-48.3609;-1.83845614237247
-48.34119;-1.83737569415965
-48.32148;-1.83874670535866
-48.30178;-1.84129515319972
-48.28207;-1.84355371371286
-48.26237;-1.84207688092945
-48.24266;-1.83631746325152
-48.22295;-1.83194230057751
-48.20325;-1.83310425964498
-48.18354;-1.83756994879948
-48.16383;-1.8417393634655
-48.14413;-1.84240011862751
-48.12442;-1.83994366175015
-48.10471;-1.83947140256176
-48.08501;-1.83931922506259
-48.0653;-1.83655083654759
-48.04559;-1.83605882346447
-48.02589;-1.83608122597983
-48.00618;-1.83793601273418
-47.98648;-1.84295841151872
-47.96677;-1.84520291812713
-47.94706;-1.84355464923548
-47.92736;-1.841054055665
-47.90765;-1.84119150847752
-47.88794;-1.84387072228886
-47.86824;-1.84853629261237
-47.84853;-1.84996526740389
-47.82882;-1.85155964089438
-47.80912;-1.85258878164384
-47.78941;-1.84980502866948
-47.7697;-1.84646828751323
-47.75;-1.84335140949666
-47.73029;-1.83956006142505
-47.71059;-1.84012487791147
-47.69088;-1.84005059981466
-47.67117;-1.83620672310587
-47.65147;-1.83477596271725
-47.63176;-1.83446009097685
-47.61205;-1.83153178423043
-47.59235;-1.83009602136124
-47.57264;-1.83227222244213
-47.55293;-1.83704067988355
-47.53323;-1.84151704186491
-47.51352;-1.84374821625437
-47.49382;-1.84404522973418
-47.47411;-1.84547576126613
-47.4544;-1.84593428745535
-47.4347;-1.84473874062467
-47.41499;-1.84435760653121
-47.39528;-1.84512522949992
-47.37558;-1.84542004595401
-47.35587;-1.84122480482755
-47.33616;-1.83421366765399
-47.31646;-1.83084743532942
-47.29675;-1.82852762036417
-47.27704;-1.82795888574678
-47.25734;-1.82921493205371
-47.23763;-1.8283675311644
-47.21793;-1.82322749294821
-47.19822;-1.8224499773998
-47.17851;-1.82353892965923
-47.15881;-1.82753613416667
-47.1391;-1.83086910750266
-47.11939;-1.83555177752057
-47.09969;-1.84033218779612
-47.07998;-1.83834989791248
-47.06027;-1.83370479935657
-47.04057;-1.83279244168067
-47.02086;-1.8331134148942
-47.00115;-1.83501933488227
-46.98145;-1.83709324064068
-46.96174;-1.83745930113249
-46.94204;-1.83775227416627
-46.92233;-1.83895612397132
-46.90262;-1.84282604296547
-46.88292;-1.84547772021267
-46.86321;-1.84275431146402
-46.8435;-1.83560534932023
-46.8238;-1.8294067412335
-46.80409;-1.82728498562664
-46.78438;-1.82622972370594
-46.76468;-1.82731093131317
-46.74497;-1.83130685893953
-46.72527;-1.83360765260156
-46.70556;-1.83682597091335
-46.68585;-1.83869397141252
-46.66615;-1.83593387104131
-46.64644;-1.83065925009909
-46.62673;-1.82829522848764
-46.60703;-1.83027087482772
-46.58732;-1.83029627839788
-46.56761;-1.82672496630373
-46.5479;-1.82093962099969
-46.5282;-1.81655394685162
-46.50849;-1.81129203854617
-46.48878;-1.80949860633068
-46.46908;-1.81226413312809
-46.44938;-1.81529006568519
-46.42967;-1.81878388560001
-46.40996;-1.82480159825784
-46.39025;-1.83174713178481
-46.37055;-1.83653473997923
-46.35084;-1.83601779450033
-46.33113;-1.83391459187511
-46.31143;-1.83408850113604
-46.29172;-1.83757183551352
-46.27201;-1.83510277256163
-46.25231;-1.8263645643055
-46.2326;-1.82027866878703
-46.2129;-1.82338874075713
-46.19319;-1.82783106697581
-46.17348;-1.83103888876748
-46.15378;-1.83189767371898
-46.13407;-1.82924100534041
-46.11436;-1.82346361738502
-46.09466;-1.82014599367639
-46.07495;-1.81908172913162
-46.05524;-1.81918051467441
-46.03554;-1.81652255710371
-46.01583;-1.81533275408743
-45.99612;-1.81728158318665
-45.97642;-1.81805967996527
-45.95671;-1.81651762266246
-45.93701;-1.81617309605927
-45.9173;-1.81523800562669
-45.89759;-1.81598309542249
-45.87789;-1.81779777211937
-45.85818;-1.8192884065298
-45.83847;-1.81949137637645
-45.81877;-1.8195295521382
-45.79906;-1.82219796617704
-45.77935;-1.82338210418832
-45.75965;-1.82181274519273
-45.73994;-1.81964388546811
-45.72023;-1.81863363518771
-45.70053;-1.81987927610579
-45.68082;-1.82075908116831
-45.66112;-1.82436504139562
-45.64141;-1.8284129311906
-45.6217;-1.82830172022761
-45.602;-1.82774065925043
-45.58229;-1.8301656611576
-45.56258;-1.83270791303183
-45.54288;-1.83351306542897
-45.52317;-1.83360086692437
-45.50346;-1.83393260186436
-45.48376;-1.83219272728914
-45.46405;-1.83162684511338
-45.44434;-1.83060915035592
-45.42464;-1.82871084096492
-45.40493;-1.82805746230559
