Frequency(ppm);Intensity
-51.4351;-1.6216698054919
-51.41539;-1.62537011232502
-51.39569;-1.62676050234126
-51.37598;-1.62611688527702
-51.35627;-1.62480207655249
-51.33657;-1.61941888059106
-51.31686;-1.61357646715012
-51.29716;-1.61243292427912
-51.27745;-1.61225155501959
-51.25774;-1.60980258047446
-51.23804;-1.60488911529183
-51.21833;-1.60010817830253
-51.19862;-1.60166857924196
-51.17892;-1.60865436107828
-51.15921;-1.61257971601432
-51.1395;-1.61089370170228
-51.1198;-1.60816788617637
-51.10009;-1.61232848190896
-51.08039;-1.61809620270865
-51.06068;-1.61806700862271
-51.04097;-1.61512324110372
-51.02127;-1.6108916488484
-51.00156;-1.60540918014415
-50.98185;-1.60282526650065
-50.96215;-1.60282530564171
-50.94244;-1.60493446309493
-50.92273;-1.60617848005817
-50.90303;-1.60434024040803
-50.88332;-1.60171295250129
-50.86361;-1.60303592652088
-50.84391;-1.60603988194138
-50.8242;-1.60972533418701
-50.8045;-1.6103576317288
-50.78479;-1.60888293485509
-50.76508;-1.60662416167294
-50.74538;-1.606353757903
-50.72567;-1.60660671876601
-50.70596;-1.60784118056472
-50.68626;-1.60709062476363
-50.66655;-1.60365263043708
-50.64684;-1.60205676730951
-50.62714;-1.60396726170525
-50.60743;-1.60323008381881
-50.58772;-1.60079146855584
-50.56802;-1.5988564713585
-50.54831;-1.59908347089329
-50.52861;-1.60131114986942
-50.5089;-1.60467830257005
-50.48919;-1.60807249154185
-50.46949;-1.6123604077158
-50.44978;-1.61314759097881
-50.43007;-1.61447190012949
-50.41037;-1.61663577429122
-50.39066;-1.61591195477461
-50.37095;-1.61423406640321
-50.35125;-1.61220237632717
-50.33154;-1.60969389122308
-50.31184;-1.60694991036208
-50.29213;-1.60374044888635
-50.27242;-1.60345989052546
-50.25272;-1.60475245154095
-50.23301;-1.60718548519716
-50.2133;-1.60951941999358
-50.1936;-1.60896202904647
-50.17389;-1.60417096348596
-50.15418;-1.60091855618735
-50.13448;-1.59981844886553
-50.11477;-1.60103414836854
-50.09506;-1.60379729583728
-50.07536;-1.60692440724067
-50.05565;-1.60645262449502
-50.03595;-1.60476440625687
-50.01624;-1.60442739341957
-49.99653;-1.60593741673436
-49.97683;-1.60619729653352
-49.95712;-1.60484537177669
-49.93741;-1.60267146998198
-49.91771;-1.60013301649355
-49.898;-1.59952106080795
-49.87829;-1.60046083316009
-49.85859;-1.60354718559414
-49.83888;-1.60674358076468
-49.81917;-1.60389411868308
-49.79947;-1.59788204608512
-49.77976;-1.59581140405009
-49.76006;-1.5978873309685
-49.74035;-1.60224924824527
-49.72064;-1.60845018336166
-49.70094;-1.60801865876128
-49.68123;-1.60580417658339
-49.66152;-1.60369276904392
-49.64182;-1.60267933317371
-49.62211;-1.60589748420052
-49.6024;-1.6113450716178
-49.5827;-1.61213696795589
-49.56299;-1.61160790791439
-49.54329;-1.61087076624603
-49.52358;-1.60782055946245
-49.50387;-1.60401932372441
-49.48417;-1.59930059449242
-49.46446;-1.5948012866842
-49.44475;-1.5940214179528
-49.42505;-1.59521688403971
-49.40534;-1.5988679689839
-49.38563;-1.6046678379031
-49.36592;-1.60903081664086
-49.34622;-1.61109554561255
-49.32651;-1.61075462905924
-49.3068;-1.60882480777848
-49.2871;-1.60760954081038
-49.2674;-1.60762740999738
-49.24769;-1.60765189352696
-49.22798;-1.60722967195606
-49.20827;-1.60574740860363
-49.18857;-1.59993716781923
-49.16886;-1.59427028086979
-49.14915;-1.59030922738928
-49.12945;-1.58949416672093
-49.10974;-1.59039174815505
-49.09003;-1.59637458675219
-49.07033;-1.6015672746156
-49.05062;-1.60275431209042
-49.03092;-1.60424036662023
-49.01121;-1.60881255841761
-48.9915;-1.61127618184494
-48.9718;-1.60880208620878
-48.95209;-1.60459192905592
-48.93238;-1.59934814189284
-48.91268;-1.59721252526918
-48.89297;-1.59760120357925
-48.87326;-1.59915563363311
-48.85356;-1.60236776853901
-48.83385;-1.60055563884229
-48.81414;-1.59664459320175
-48.79444;-1.59570348419298
-48.77473;-1.60001648666052
-48.75503;-1.60389893644996
-48.73532;-1.60279990854364
-48.71561;-1.60019583790565
-48.69591;-1.59758141045863
-48.6762;-1.59719998293699
-48.65649;-1.60033906617489
-48.63679;-1.59900147995932
-48.61708;-1.59493846987556
-48.59737;-1.59280126290892
-48.57767;-1.59318818836547
-48.55796;-1.59534208232759
-48.53825;-1.59687797465596
-48.51855;-1.59508603736972
-48.49884;-1.59275324315886
-48.47914;-1.591425779296
-48.45943;-1.58930031794192
-48.43972;-1.58792373997595
-48.42002;-1.5857325397277
-48.40031;-1.58093868935796
-48.3806;-1.5768446276611
-48.3609;-1.57528150385091
-48.34119;-1.57638060853402
-48.32148;-1.57887114497828
-48.30178;-1.58602355001682
-48.28207;-1.59084164432778
-48.26237;-1.59036817812771
-48.24266;-1.58861474283247
-48.22295;-1.58572080454522
-48.20325;-1.58591843846702
-48.18354;-1.58943715572618
-48.16383;-1.59516082578987
-48.14413;-1.60303304302432
-48.12442;-1.6068327371383
-48.10471;-1.60394542526483
-48.08501;-1.60062175423489
-48.0653;-1.59749893501796
-48.04559;-1.59107123279
-48.02589;-1.5857320291832
-48.00618;-1.58336799496967
-47.98648;-1.58251025467621
-47.96677;-1.58528105006537
-47.94706;-1.58956503437331
-47.92736;-1.59117081797043
-47.90765;-1.5909073001881
-47.88794;-1.59095544569449
-47.86824;-1.59417318367823
-47.84853;-1.59794878613231
-47.82882;-1.59964123975159
-47.80912;-1.59807298921695
-47.78941;-1.59472245720084
-47.7697;-1.59123040335443
-47.75;-1.58647200769259
-47.73029;-1.58069360565983
-47.71059;-1.57788892953422
-47.69088;-1.57746592813246
-47.67117;-1.57979645528465
-47.65147;-1.58730453794444
-47.63176;-1.59618340295954
-47.61205;-1.59985765599512
-47.59235;-1.60018853793
-47.57264;-1.5999970760846
-47.55293;-1.60248352746717
-47.53323;-1.60454646607544
-47.51352;-1.60457052170062
-47.49382;-1.60512879235797
-47.47411;-1.60613347881824
-47.4544;-1.59935485248721
-47.4347;-1.5902862806685
-47.41499;-1.59008026971313
-47.39528;-1.59290294177869
-47.37558;-1.58854161854327
-47.35587;-1.58171860346205
-47.33616;-1.57598728573711
-47.31646;-1.57304370378464
-47.29675;-1.57570959046637
-47.27704;-1.57697490679376
-47.25734;-1.57606124593426
-47.23763;-1.57893559375071
-47.21793;-1.58123460882547
-47.19822;-1.58285857937422
-47.17851;-1.58234869192524
-47.15881;-1.58133496599233
-47.1391;-1.58140304943757
-47.11939;-1.58139537312023
-47.09969;-1.58020124554148
-47.07998;-1.58078735324052
-47.06027;-1.58397305380699
-47.04057;-1.58982844819825
-47.02086;-1.5938765941127
-47.00115;-1.59275736256089
-46.98145;-1.59152265534913
-46.96174;-1.59173373201113
-46.94204;-1.58958337870315
-46.92233;-1.5869513417288
-46.90262;-1.58389177540458
-46.88292;-1.58064956939351
-46.86321;-1.57896662780473
-46.8435;-1.58059303586481
-46.8238;-1.58590756477162
-46.80409;-1.58981188717178
-46.78438;-1.58655649898149
-46.76468;-1.58505007244998
-46.74497;-1.58489595597921
-46.72527;-1.58455811735698
-46.70556;-1.58495815719729
-46.68585;-1.58546491504609
-46.66615;-1.58608955681954
-46.64644;-1.584992398038
-46.62673;-1.5814630699296
-46.60703;-1.57858984998828
-46.58732;-1.57394945681217
-46.56761;-1.57150148711266
-46.5479;-1.57617236985402
-46.5282;-1.58358325701112
-46.50849;-1.58496193543675
-46.48878;-1.58255904628902
-46.46908;-1.580036165961
-46.44938;-1.58166167571375
-46.42967;-1.58270894725472
-46.40996;-1.58288766862423
-46.39025;-1.58427309153582
-46.37055;-1.5852069805035
-46.35084;-1.5836432282651
-46.33113;-1.58209766738523
-46.31143;-1.58188950350268
-46.29172;-1.58132501061156
-46.27201;-1.57862162461962
-46.25231;-1.57753781562054
-46.2326;-1.57819898304378
-46.2129;-1.5831574539772
-46.19319;-1.5904071216326
-46.17348;-1.59563089761932
-46.15378;-1.59554818238979
-46.13407;-1.59572381122297
-46.11436;-1.59608889785189
-46.09466;-1.58759105237609
-46.07495;-1.57768385153637
-46.05524;-1.57430194280206
-46.03554;-1.57467688240675
-46.01583;-1.57672378588952
-45.99612;-1.57720912344472
-45.97642;-1.57969867749082
-45.95671;-1.58430719784748
-45.93701;-1.58582213177046
-45.9173;-1.58530321381459
-45.89759;-1.58194863672935
-45.87789;-1.57773450063989
-45.85818;-1.57779937055578
-45.83847;-1.58110550406834
-45.81877;-1.58440470746882
-45.79906;-1.58345500821915
-45.77935;-1.58212633054483
-45.75965;-1.58280953748113
-45.73994;-1.58524962529375
-45.72023;-1.58629413535675
-45.70053;-1.58880764513382
-45.68082;-1.5899210142962
-45.66112;-1.58719502283809
-45.64141;-1.58763229776786
-45.6217;-1.59104725857441
-45.602;-1.59072965976935
-45.58229;-1.58815206551421
-45.56258;-1.58703770158709
-45.54288;-1.58871960761046
-45.52317;-1.58706202058994
-45.50346;-1.58529324516842
-45.48376;-1.5841334523701
-45.46405;-1.58526729145811
-45.44434;-1.58508492874212
-45.42464;-1.58300733220529
-45.40493;-1.57939156820424
-45.38523;-1.57752461255875
-45.36552;-1.58163398045311
-45.34581;-1.58759666671632
-45.32611;-1.58769394489301
-45.3064;-1.5825182215759
-45.28669;-1.57715282499097
-45.26699;-1.5737837834889
-45.24728;-1.57288336819464
-45.22757;-1.57439953902041
-45.20787;-1.5783991720378
-45.18816;-1.58244925919877
-45.16846;-1.5821601935932
-45.14875;-1.57953123871438
-45.12904;-1.57391656239061
-45.10934;-1.57053361784348
-45.08963;-1.57256202033799
-45.06992;-1.5783349239741
-45.05022;-1.58329685749621
-45.03051;-1.58405726195098
-45.0108;-1.58370937282514
-44.9911;-1.58315262690426
-44.97139;-1.57861635105828
-44.95168;-1.57550374035208
-44.93198;-1.57868642872415
-44.91227;-1.58355441096865
-44.89257;-1.58082671386561
-44.87286;-1.57545223309488
-44.85315;-1.57174620109099
-44.83345;-1.57181311471634
-44.81374;-1.57132532460619
-44.79403;-1.56877987051351
-44.77433;-1.56728894174511
-44.75462;-1.56874349184732
-44.73491;-1.56581444094845
-44.71521;-1.56065827302503
-44.6955;-1.55919264232716
-44.67579;-1.56055835355261
-44.65609;-1.56176929337266
-44.63638;-1.55873334605547
-44.61668;-1.5589824094457
-44.59697;-1.56652356314631
-44.57726;-1.57389356386516
-44.55756;-1.5783284408797
-44.53785;-1.57962755744927
-44.51814;-1.57565276644671
-44.49844;-1.57009648126517
-44.47873;-1.56729519082087
-44.45902;-1.56614174207128
-44.43932;-1.56742416896087
-44.41961;-1.56998010727495
-44.39991;-1.57316326843573
-44.3802;-1.57637541073741
-44.36049;-1.57974476106971
-44.34079;-1.58569955213261
-44.32108;-1.59203431944931
-44.30137;-1.5956806505953
-44.28167;-1.5938895002352
-44.26196;-1.58649700849512
-44.24225;-1.58077139776609
-44.22255;-1.57673519777544
-44.20284;-1.57128515292778
-44.18313;-1.56485710686568
-44.16343;-1.56271627350444
-44.14372;-1.56578060717867
-44.12402;-1.56916843736116
-44.10431;-1.57164286943127
-44.0846;-1.56982862010321
-44.0649;-1.56863641007477
-44.04519;-1.57104310352717
-44.02548;-1.57168518927145
-44.00578;-1.57313926999313
-43.98607;-1.57421940657214
-43.96636;-1.57631848757183
-43.94666;-1.57333609273416
-43.92695;-1.56754170337037
-43.90724;-1.56521730829368
-43.88754;-1.56696099726822
-43.86783;-1.57166054936768
-43.84813;-1.57421761031021
-43.82842;-1.57498640283401
-43.80871;-1.57639846193945
-43.78901;-1.57567614490664
-43.7693;-1.57275787459201
-43.74959;-1.57133532062142
-43.72989;-1.57200669301092
