Frequency(ppm);Intensity
-51.4351;-0.992959543887867
-51.41539;-0.999305183031757
-51.39569;-1.0000900996089
-51.37598;-0.997112806682454
-51.35627;-0.995607396816937
-51.33657;-0.997050694124272
-51.31686;-1.00081540966326
-51.29716;-1.00364054339408
-51.27745;-1.00284553248688
-51.25774;-0.999370891961721
-51.23804;-0.99535672805057
-51.21833;-0.994565373656425
-51.19862;-0.994420027134945
-51.17892;-0.993245200767064
-51.15921;-0.990780180721565
-51.1395;-0.989178652428237
-51.1198;-0.986889380158918
-51.10009;-0.98476664784749
-51.08039;-0.985799826197367
-51.06068;-0.991919448250101
-51.04097;-0.994166764426462
-51.02127;-0.991219716361779
-51.00156;-0.989118131035413
-50.98185;-0.989021985503388
-50.96215;-0.989105678869379
-50.94244;-0.989806926011922
-50.92273;-0.989816602256701
-50.90303;-0.988611173577969
-50.88332;-0.988811339418411
-50.86361;-0.9922370511417
-50.84391;-0.993612980346433
-50.8242;-0.991719944080988
-50.8045;-0.988710635002957
-50.78479;-0.99129697079549
-50.76508;-0.998504575872268
-50.74538;-1.00345115994424
-50.72567;-1.00544181683965
-50.70596;-1.00569295194065
-50.68626;-1.0028562413635
-50.66655;-0.998453244110735
-50.64684;-0.99457162655399
-50.62714;-0.991708309115837
-50.60743;-0.990426665165045
-50.58772;-0.989611125067033
-50.56802;-0.989583568803233
-50.54831;-0.989774258224973
-50.52861;-0.990696931687948
-50.5089;-0.989888006321515
-50.48919;-0.985647886582831
-50.46949;-0.97969977542709
-50.44978;-0.976804721387675
-50.43007;-0.978213947072655
-50.41037;-0.981720894497724
-50.39066;-0.984718210889928
-50.37095;-0.985025537543641
-50.35125;-0.98347406371028
-50.33154;-0.980484122983672
-50.31184;-0.978466304051385
-50.29213;-0.978484357115581
-50.27242;-0.979405345030484
-50.25272;-0.978041763450161
-50.23301;-0.976735848460066
-50.2133;-0.97782571146157
-50.1936;-0.977853436555823
-50.17389;-0.980383423931652
-50.15418;-0.983550088409023
-50.13448;-0.985987570747826
-50.11477;-0.987693215155855
-50.09506;-0.988032325182918
-50.07536;-0.985133987362712
-50.05565;-0.981658684996563
-50.03595;-0.982443323289522
-50.01624;-0.985746657055912
-49.99653;-0.989871079943193
-49.97683;-0.994317684532302
-49.95712;-0.994726842717844
-49.93741;-0.991671393330898
-49.91771;-0.991851224496318
-49.898;-0.991101594191714
-49.87829;-0.990364456159484
-49.85859;-0.993737083541794
-49.83888;-0.995895384171559
-49.81917;-0.99620868143596
-49.79947;-0.993438104366588
-49.77976;-0.990054007725086
-49.76006;-0.99132113217001
-49.74035;-0.997232052328479
-49.72064;-1.00259682580681
-49.70094;-1.00241764691543
-49.68123;-0.996694144990966
-49.66152;-0.991000807174354
-49.64182;-0.987151422654586
-49.62211;-0.986971368941019
-49.6024;-0.989813959781234
-49.5827;-0.994431409858976
-49.56299;-1.00057651756745
-49.54329;-1.00273306779758
-49.52358;-1.0003783479367
-49.50387;-0.994143802876027
-49.48417;-0.989211443687125
-49.46446;-0.98757766248037
-49.44475;-0.987067766148383
-49.42505;-0.985017937625901
-49.40534;-0.980795447396601
-49.38563;-0.980367246960799
-49.36592;-0.983667135807634
-49.34622;-0.986915543895298
-49.32651;-0.989077828575909
-49.3068;-0.989399871810904
-49.2871;-0.987051031812686
-49.2674;-0.988591524475003
-49.24769;-0.991721902087102
-49.22798;-0.989963478859154
-49.20827;-0.985836486124802
-49.18857;-0.98116975773915
-49.16886;-0.979262616041084
-49.14915;-0.98123415150536
-49.12945;-0.982303895959752
-49.10974;-0.98226190967045
-49.09003;-0.982977286666872
-49.07033;-0.980833875381066
-49.05062;-0.974270876519076
-49.03092;-0.970078377609058
-49.01121;-0.972173493252538
-48.9915;-0.976635353823912
-48.9718;-0.982524426342723
-48.95209;-0.986779444081958
-48.93238;-0.990370181125189
-48.91268;-0.993126497368588
-48.89297;-0.9960351725014
-48.87326;-0.997874354227873
-48.85356;-0.999712961257348
-48.83385;-1.00097999006161
-48.81414;-1.00105318028457
-48.79444;-1.00044788782146
-48.77473;-0.998656428735878
-48.75503;-0.994168916017711
-48.73532;-0.991919671979745
-48.71561;-0.990013917029029
-48.69591;-0.982980335599406
-48.6762;-0.976794268706556
-48.65649;-0.974684236958893
-48.63679;-0.974991020737969
-48.61708;-0.977402029568159
-48.59737;-0.979857707851679
-48.57767;-0.981471658550319
-48.55796;-0.983575188356252
-48.53825;-0.98462441029119
-48.51855;-0.983492359798169
-48.49884;-0.982553131615517
-48.47914;-0.980249592764052
-48.45943;-0.976761546207739
-48.43972;-0.972706253883529
-48.42002;-0.965220384113127
-48.40031;-0.961554679027313
-48.3806;-0.965682445296793
-48.3609;-0.971246268358186
-48.34119;-0.973690554682748
-48.32148;-0.976136479318904
-48.30178;-0.979920425386742
-48.28207;-0.978556950292602
-48.26237;-0.975312890845049
-48.24266;-0.975948339424125
-48.22295;-0.976386964143021
-48.20325;-0.974317239981471
-48.18354;-0.971053621826916
-48.16383;-0.969695298155493
-48.14413;-0.971941040497905
-48.12442;-0.973259191336996
