Frequency(ppm);Intensity
-51.43428;0.000857581423407491
-51.41457;0.000571646443738006
-51.39487;0.000296697425187991
-51.37516;0.000670410652147843
-51.35546;0.00128790241547243
-51.33575;0.00157435482300865
-51.31604;0.00141715585241536
-51.29634;0.00141737338990615
-51.27663;0.00111121381321573
-51.25692;-2.36496925956956E-06
-51.23722;-0.000617682176697603
-51.21751;-0.000122291488983417
-51.19781;0.00126243016586985
-51.1781;0.00240560966960792
-51.15839;0.00275899258938464
-51.13869;0.00269355188645442
-51.11898;0.0023178466615709
-51.09927;0.00195887744408237
-51.07957;0.00165458707298135
-51.05986;0.00163634724356846
-51.04015;0.00159922598162937
-51.02045;0.000803937718214864
-51.00074;6.15784012949725E-05
-50.98104;-0.000210772732505471
-50.96133;-6.14466634630028E-05
-50.94162;9.88695152286967E-05
-50.92192;-0.000214119173255809
-50.90221;-0.000414922431478192
-50.8825;-0.00038935615001273
-50.8628;-0.000394818750451656
-50.84309;-8.09743384485715E-05
-50.82339;0.00080475391652694
-50.80368;0.00122755660028172
-50.78397;0.000637308274445615
-50.76427;0.000269724207018638
-50.74456;-0.00010597840693822
-50.72485;-0.000301284360662632
-50.70515;-0.000327199283509587
-50.68544;-0.000128013413216785
-50.66573;-0.000322878495193178
-50.64603;-0.00123366403597517
-50.62632;-0.00238166440723638
-50.60662;-0.00311305209215054
-50.58691;-0.00341818998459812
-50.5672;-0.0027784363203824
-50.5475;-0.00134339867124103
-50.52779;0.000392625040150058
-50.50808;0.00154704183737287
-50.48838;0.00145234099856497
-50.46867;0.000974488711722897
-50.44896;0.000379488243045467
-50.42926;4.61471940462915E-05
-50.40955;0.000153943552727978
-50.38985;-0.000131735422244859
-50.37014;-0.000567520369541079
-50.35043;-0.000412906414823279
-50.33073;-0.000261911914204671
-50.31102;0.0008866773686139
-50.29131;0.00178618804507564
-50.27161;0.00207520644361817
-50.2519;0.00228520424421713
-50.2322;0.00232257334673098
-50.21249;0.00249501391410462
-50.19278;0.00279926029654055
-50.17308;0.002750540407995
-50.15337;0.00201220839526122
-50.13366;0.0017551008616836
-50.11396;0.00189479922187629
-50.09425;0.00150052791947439
-50.07454;0.000751723631753588
-50.05484;-0.000177100233831549
-50.03513;-0.000829507181322429
-50.01543;-0.000609360135742325
-49.99572;-0.000768989448245193
-49.97601;-0.000911715511229525
-49.95631;-0.00109413354636886
-49.9366;-0.00186335443698202
-49.91689;-0.00213604091354699
-49.89719;-0.00228216996426558
-49.87748;-0.0022715269204252
-49.85778;-0.00107144549392512
-49.83807;0.000614973263974866
-49.81836;0.00197458193167601
-49.79866;0.00251685709498316
-49.77895;0.00190190878755553
-49.75924;0.00148548837502302
-49.73954;0.00164750316469808
-49.71983;0.00162067648043669
-49.70012;0.00183890446651398
-49.68042;0.00198805308032421
-49.66071;0.00205498077621707
-49.64101;0.00132158857334325
-49.6213;0.000437599462170809
-49.60159;-0.000146878938768418
-49.58189;-0.000986602210079068
-49.56218;-0.00149037798462685
-49.54247;-0.00105241100797839
-49.52277;-0.00114343760516392
-49.50306;-0.0015324011124981
-49.48336;-0.00172793271358496
-49.46365;-0.00200364819727331
-49.44394;-0.00125496173824933
-49.42424;0.00010741311319487
-49.40453;0.00134701609917643
-49.38482;0.00154628293416146
-49.36512;0.00101836135206382
-49.34541;0.000835574925411588
-49.3257;0.000932436607868075
-49.306;0.000168990183517384
-49.28629;-0.000488949750254488
-49.26659;-0.000831262974492079
-49.24688;-0.00171408865635727
-49.22717;-0.00268487624974075
-49.20747;-0.00324972752564334
-49.18776;-0.00285947832718501
-49.16805;-0.0019447903202644
-49.14835;-0.00118517399067608
-49.12864;-0.000820465002815619
-49.10893;-0.000108647012303909
-49.08923;0.000350370494163193
-49.06952;-0.000223061166170127
-49.04982;-0.00125535784859473
-49.03011;-0.00150660627732913
-49.0104;-0.00122467315537084
-48.9907;-0.00131061291583502
-48.97099;-0.00191535450913841
-48.95128;-0.00190328417582527
-48.93158;-0.000905119217612962
-48.91187;0.000403486729908731
-48.89217;0.000834628956963901
-48.87246;-0.000138246347954718
-48.85275;-0.000989182237463696
-48.83305;-0.00148017471092898
-48.81334;-0.00127826768521964
-48.79363;-0.000638380243585096
-48.77393;-0.000319004419491615
-48.75422;-0.000216804381134258
-48.73451;-0.000414169275480978
-48.71481;-0.00112426830283335
-48.6951;-0.00197839284902227
-48.6754;-0.00200535299288893
-48.65569;-0.00190431344194679
-48.63598;-0.00157070734885658
-48.61628;-0.00120309911964549
-48.59657;-0.00134806409018656
-48.57686;-0.00188548198278941
-48.55716;-0.00193147692657838
-48.53745;-0.0014339738545385
-48.51775;-0.000703708145461499
-48.49804;-0.000318657935207352
-48.47833;-0.000259040571083252
-48.45863;0.000275077750768457
-48.43892;0.000801468450822891
-48.41921;0.00101420460037198
-48.39951;0.000626916453812294
-48.3798;0.000212101498450099
-48.36009;0.000602275850400626
-48.34039;0.0010888915871592
-48.32068;0.00181445850889657
-48.30098;0.0028141933543045
-48.28127;0.00323930044180893
-48.26156;0.00325954778704442
-48.24186;0.00269045912312395
-48.22215;0.00168558403439981
-48.20244;0.000901085650111654
-48.18274;0.0012105778404009
-48.16303;0.00230600842022622
-48.14333;0.00236558878737212
-48.12362;0.000988280716504064
-48.10391;2.35437877845597E-05
-48.08421;0.000140771480674447
-48.0645;0.000640123699838496
-48.04479;0.000465536189941362
-48.02509;-0.00112786763194974
-48.00538;-0.0024272486154146
-47.98567;-0.00229589779552774
-47.96597;-0.00191400507525066
-47.94626;-0.00106729585828904
-47.92656;0.000238681460077841
-47.90685;0.00101244263313653
-47.88714;0.00086212670535324
-47.86744;-0.000421477631875877
-47.84773;-0.0016504163792542
-47.82802;-0.00179961509275628
-47.80832;-0.00144856941329665
-47.78861;-0.000608783497530796
-47.7689;1.87280573192342E-05
-47.7492;0.000116881016141962
-47.72949;-4.40612446784192E-05
-47.70979;0.000276487038127126
-47.69008;0.000358429433236009
-47.67037;0.000148082155435158
-47.65067;0.000387291411269517
-47.63096;0.000867245685929785
