Frequency(ppm);Intensity
-51.4351;-1.52418573542465
-51.41539;-1.52358675204258
-51.39569;-1.52185458381445
-51.37598;-1.52300633051253
-51.35627;-1.52664500034757
-51.33657;-1.52885242416312
-51.31686;-1.53105433362848
-51.29716;-1.53036181781563
-51.27745;-1.52901060758018
-51.25774;-1.52853760454524
-51.23804;-1.52506394558964
-51.21833;-1.52510702894762
-51.19862;-1.52380332478339
-51.17892;-1.51926428552239
-51.15921;-1.51304514800623
-51.1395;-1.50664145423778
-51.1198;-1.50428874931396
-51.10009;-1.50766455343798
-51.08039;-1.5125910438423
-51.06068;-1.51678783265361
-51.04097;-1.52014896662474
-51.02127;-1.52290962230385
-51.00156;-1.52209982087041
-50.98185;-1.51984806227392
-50.96215;-1.51924159211108
-50.94244;-1.52276127735406
-50.92273;-1.52365642430331
-50.90303;-1.52365692440019
-50.88332;-1.52763760558938
-50.86361;-1.53055901308237
-50.84391;-1.5268828404358
-50.8242;-1.52194951160113
-50.8045;-1.51523835137329
-50.78479;-1.50776234595614
-50.76508;-1.50675377545962
-50.74538;-1.51044339272327
-50.72567;-1.51345130163764
-50.70596;-1.5138403627087
-50.68626;-1.51186944118196
-50.66655;-1.51332061882584
-50.64684;-1.51351671134689
-50.62714;-1.51108580783048
-50.60743;-1.50668678200923
-50.58772;-1.50265066801759
-50.56802;-1.5014820495433
-50.54831;-1.5033181217138
-50.52861;-1.50923682776774
-50.5089;-1.51771462062319
-50.48919;-1.52500794173302
-50.46949;-1.52976366019209
-50.44978;-1.5275433386758
-50.43007;-1.52058668575471
-50.41037;-1.51388303133478
-50.39066;-1.51168820276498
-50.37095;-1.50959916968446
-50.35125;-1.50804305064961
-50.33154;-1.50876787257804
-50.31184;-1.51025495363244
-50.29213;-1.50889538866336
-50.27242;-1.50574343660212
-50.25272;-1.50281672433631
-50.23301;-1.50297565201497
-50.2133;-1.50376562245418
-50.1936;-1.50326502280815
-50.17389;-1.50177596443025
-50.15418;-1.50137071291929
-50.13448;-1.50366973583948
-50.11477;-1.50911613692376
-50.09506;-1.51178005880171
-50.07536;-1.50979864896658
-50.05565;-1.50560443722686
-50.03595;-1.50344036774024
-50.01624;-1.50304748342831
-49.99653;-1.50521544391399
-49.97683;-1.50854731963884
-49.95712;-1.51333822444976
-49.93741;-1.51745652040131
-49.91771;-1.5153566556673
-49.898;-1.51262112957664
-49.87829;-1.51361712259377
-49.85859;-1.51602207558322
-49.83888;-1.51816028671349
-49.81917;-1.51546766397852
-49.79947;-1.51036360628963
-49.77976;-1.511526496454
-49.76006;-1.52008715636763
-49.74035;-1.52395045996293
-49.72064;-1.52254935818661
-49.70094;-1.51945922102911
