Frequency(ppm);Intensity
-51.4351;-1.30314045308445
-51.41539;-1.29968422342839
-51.39569;-1.29748019371159
-51.37598;-1.29723291937758
-51.35627;-1.29967890559698
-51.33657;-1.29966671212484
-51.31686;-1.29830941118769
-51.29716;-1.29985813708913
-51.27745;-1.30324763987786
-51.25774;-1.30277371950308
-51.23804;-1.29695653650829
-51.21833;-1.29074782989514
-51.19862;-1.28931055757019
-51.17892;-1.29127094545393
-51.15921;-1.29205713170839
-51.1395;-1.29169713785264
-51.1198;-1.29246975142456
-51.10009;-1.29383822593606
-51.08039;-1.29263837505547
-51.06068;-1.28707508574589
-51.04097;-1.28292696218014
-51.02127;-1.28538366806934
-51.00156;-1.28914451490265
-50.98185;-1.29272227748512
-50.96215;-1.29593643356769
-50.94244;-1.29812607966076
-50.92273;-1.29911902437671
-50.90303;-1.29538568821514
-50.88332;-1.28891220945361
-50.86361;-1.28466496639533
-50.84391;-1.28569522942384
-50.8242;-1.28645973519898
-50.8045;-1.28673987908214
-50.78479;-1.2861478596532
-50.76508;-1.28937773522084
-50.74538;-1.29628345874024
-50.72567;-1.29898053372481
-50.70596;-1.29951093390142
-50.68626;-1.30069257213269
-50.66655;-1.30232341120616
-50.64684;-1.30283020783441
-50.62714;-1.30126689811534
-50.60743;-1.29879550852293
-50.58772;-1.2954039707569
-50.56802;-1.29095218908284
-50.54831;-1.29115911919233
-50.52861;-1.29667753484234
-50.5089;-1.300627129327
-50.48919;-1.30320269278576
-50.46949;-1.30339591050695
-50.44978;-1.30195190991264
-50.43007;-1.30302910197558
-50.41037;-1.30281188724927
-50.39066;-1.30068974091425
-50.37095;-1.30079773121086
-50.35125;-1.30422556040286
-50.33154;-1.30502384078161
-50.31184;-1.30030994091314
-50.29213;-1.29842679339349
-50.27242;-1.29919309831307
-50.25272;-1.30091855764922
-50.23301;-1.30054845643409
-50.2133;-1.30012607146686
-50.1936;-1.29964852399251
-50.17389;-1.29770507666663
-50.15418;-1.29628459713357
-50.13448;-1.29668788290894
-50.11477;-1.29866975988371
-50.09506;-1.29659920780879
-50.07536;-1.29006774639905
-50.05565;-1.28652359996531
-50.03595;-1.28920336877115
-50.01624;-1.2923594577422
-49.99653;-1.29452542461015
-49.97683;-1.2942462961315
-49.95712;-1.29291199845315
-49.93741;-1.29328374655699
-49.91771;-1.29688604695265
-49.898;-1.30120592569917
-49.87829;-1.30122062399051
-49.85859;-1.29766114920123
-49.83888;-1.29305198679596
-49.81917;-1.29054051475141
-49.79947;-1.29082763247639
-49.77976;-1.29295103843609
-49.76006;-1.29478063663561
-49.74035;-1.29682476518187
-49.72064;-1.29509980826107
-49.70094;-1.29236690203812
-49.68123;-1.29343407377753
-49.66152;-1.29296772908543
-49.64182;-1.29095954073971
-49.62211;-1.28707223988919
-49.6024;-1.280946765082
-49.5827;-1.27979380557519
-49.56299;-1.28333328922369
-49.54329;-1.28609503784615
-49.52358;-1.28457870413655
-49.50387;-1.28431991470289
-49.48417;-1.285144329926
-49.46446;-1.28286053987353
-49.44475;-1.28149232560656
-49.42505;-1.28373456446582
-49.40534;-1.28402845140898
-49.38563;-1.2823313887086
-49.36592;-1.28395294615164
-49.34622;-1.28791931692393
-49.32651;-1.28845662464518
-49.3068;-1.28863242358088
-49.2871;-1.28934605939401
-49.2674;-1.28798837724023
-49.24769;-1.28906113126655
-49.22798;-1.29346969787926
-49.20827;-1.29621552086647
-49.18857;-1.29644538637995
-49.16886;-1.29500220821316
-49.14915;-1.29407012775544
-49.12945;-1.29137114005456
-49.10974;-1.28736177649103
-49.09003;-1.2845917201795
-49.07033;-1.2823024540851
-49.05062;-1.28070708734997
-49.03092;-1.28226281295921
-49.01121;-1.2865182530385
-48.9915;-1.29065036189661
-48.9718;-1.29185070221585
-48.95209;-1.29074265602454
-48.93238;-1.28658341833578
-48.91268;-1.2850701741177
-48.89297;-1.28354229803575
-48.87326;-1.28044247797482
-48.85356;-1.28264943457204
-48.83385;-1.28762041407787
