Frequency(ppm);Intensity
-51.4351;-1.68628763075604
-51.41539;-1.68493095050433
-51.39569;-1.68386633569583
-51.37598;-1.68283575195948
-51.35627;-1.67756222027097
-51.33657;-1.67315758604963
-51.31686;-1.67312592430371
-51.29716;-1.67780558592191
-51.27745;-1.68406293640475
-51.25774;-1.6907832248075
-51.23804;-1.697000922498
-51.21833;-1.70474344716471
-51.19862;-1.70654489858172
-51.17892;-1.70149634443316
-51.15921;-1.69432837551616
-51.1395;-1.68885684825442
-51.1198;-1.68944184403655
-51.10009;-1.69122818036393
-51.08039;-1.69053251092316
-51.06068;-1.69438610782367
-51.04097;-1.69887986962532
-51.02127;-1.70028363451196
-51.00156;-1.70145160976816
-50.98185;-1.70354459574703
-50.96215;-1.69889819896072
-50.94244;-1.69037059540681
-50.92273;-1.68331773180482
-50.90303;-1.67930354057348
-50.88332;-1.67756894507687
-50.86361;-1.6801682359745
-50.84391;-1.68329896380633
-50.8242;-1.68616824053515
-50.8045;-1.68674857878023
-50.78479;-1.68539280606247
-50.76508;-1.68406939892763
-50.74538;-1.68369853674057
-50.72567;-1.68335720318347
-50.70596;-1.68726684234911
-50.68626;-1.69200000676821
-50.66655;-1.69213620556696
-50.64684;-1.69097204803181
-50.62714;-1.6924892079963
-50.60743;-1.6912631780368
-50.58772;-1.69205270541702
-50.56802;-1.69580290222595
-50.54831;-1.69815482007713
-50.52861;-1.69705624314533
-50.5089;-1.69705706527088
-50.48919;-1.69643676637307
-50.46949;-1.69478879231871
-50.44978;-1.69598365062655
-50.43007;-1.69786266192966
-50.41037;-1.69561879895458
-50.39066;-1.69231945196371
-50.37095;-1.68994971541525
-50.35125;-1.68988461575013
-50.33154;-1.68923157713607
-50.31184;-1.68690157858714
-50.29213;-1.68287704934906
-50.27242;-1.67935860580653
-50.25272;-1.67780759432763
-50.23301;-1.68035380097816
-50.2133;-1.6838969085606
-50.1936;-1.68439012306157
-50.17389;-1.6822435596241
-50.15418;-1.6820768301404
-50.13448;-1.6824444975075
-50.11477;-1.67832829464469
-50.09506;-1.6732222904194
-50.07536;-1.6733014868897
-50.05565;-1.67510509408649
-50.03595;-1.67814597143248
-50.01624;-1.67875538292089
-49.99653;-1.67752315034641
-49.97683;-1.67543509466218
-49.95712;-1.67396320496997
-49.93741;-1.67388096873827
-49.91771;-1.67864036879747
-49.898;-1.68180645147741
-49.87829;-1.68206663986482
-49.85859;-1.68330751570744
-49.83888;-1.68088409296113
-49.81917;-1.67446027801386
-49.79947;-1.66555740451392
-49.77976;-1.65994305398494
-49.76006;-1.66178203056781
-49.74035;-1.66594186891699
-49.72064;-1.67165572889984
-49.70094;-1.67492721623347
-49.68123;-1.6752776200522
-49.66152;-1.67541710896724
-49.64182;-1.67784084325001
-49.62211;-1.67824266144864
-49.6024;-1.67476106770571
-49.5827;-1.66936386432626
-49.56299;-1.66460146435358
-49.54329;-1.66412081520914
-49.52358;-1.66561742641298
