Frequency(ppm);Intensity
-51.4351;-1.41022651487573
-51.41539;-1.40836220374569
-51.39569;-1.40711960476935
-51.37598;-1.40824119981604
-51.35627;-1.41205404635809
-51.33657;-1.41363438208757
-51.31686;-1.41149941528056
-51.29716;-1.4111958829336
-51.27745;-1.41208185876662
-51.25774;-1.410212994911
-51.23804;-1.40497387841766
-51.21833;-1.39763951093492
-51.19862;-1.39349841032005
-51.17892;-1.39623446778841
-51.15921;-1.39998030849266
-51.1395;-1.40452288510093
-51.1198;-1.40925073685152
-51.10009;-1.41155623609343
-51.08039;-1.41206273106693
-51.06068;-1.41452000299661
-51.04097;-1.41730799853436
-51.02127;-1.4193831251154
-51.00156;-1.41848778669485
-50.98185;-1.41555801429065
-50.96215;-1.41132730921784
-50.94244;-1.40820585303896
-50.92273;-1.41095861862748
-50.90303;-1.41455398495368
-50.88332;-1.41393759743736
-50.86361;-1.40945982614789
-50.84391;-1.40564591714851
-50.8242;-1.40401233502557
-50.8045;-1.40273390097655
-50.78479;-1.40408912401516
-50.76508;-1.40729389601231
-50.74538;-1.41003447120089
-50.72567;-1.40969493415465
-50.70596;-1.40515325044776
-50.68626;-1.40124122722435
-50.66655;-1.39817980855473
-50.64684;-1.39678084182162
-50.62714;-1.3978230950228
-50.60743;-1.39845498640063
-50.58772;-1.40039068848423
-50.56802;-1.40179650803982
-50.54831;-1.40295607970582
-50.52861;-1.40300300945836
-50.5089;-1.40355537175576
-50.48919;-1.40304721466992
-50.46949;-1.4030816545148
-50.44978;-1.40327899374892
-50.43007;-1.40265464946325
-50.41037;-1.40211488087983
-50.39066;-1.4008619090944
-50.37095;-1.40137537554934
-50.35125;-1.40357882791703
-50.33154;-1.40738366430037
-50.31184;-1.40958407428189
-50.29213;-1.40773197212536
-50.27242;-1.40547018825829
-50.25272;-1.40458730786608
-50.23301;-1.40253862740611
-50.2133;-1.40039327270342
-50.1936;-1.40078271007032
-50.17389;-1.40354149893109
-50.15418;-1.40781860876049
-50.13448;-1.41055188955796
-50.11477;-1.40969956671372
-50.09506;-1.40552928679726
-50.07536;-1.40008743001976
-50.05565;-1.39591071739414
-50.03595;-1.39568705991167
-50.01624;-1.39987525448971
-49.99653;-1.40742003849878
-49.97683;-1.41388558040544
-49.95712;-1.41324922946557
-49.93741;-1.41037127732235
-49.91771;-1.40677523712034
-49.898;-1.4050629321126
-49.87829;-1.40550646000847
-49.85859;-1.40838625074825
-49.83888;-1.41064339727918
-49.81917;-1.40629755406979
-49.79947;-1.39982846333721
-49.77976;-1.39623663062086
-49.76006;-1.39277955943746
-49.74035;-1.38921828528988
-49.72064;-1.38719044694763
-49.70094;-1.38700640208904
-49.68123;-1.38819721654297
-49.66152;-1.39038211670607
-49.64182;-1.39321804005995
-49.62211;-1.39606901381093
-49.6024;-1.39609933668976
-49.5827;-1.39852635369797
-49.56299;-1.40254006850286
-49.54329;-1.40345865755964
-49.52358;-1.40106449991563
-49.50387;-1.40030881651091
-49.48417;-1.40267392702771
-49.46446;-1.40463133080239
-49.44475;-1.40506272612564
-49.42505;-1.4046433413955
-49.40534;-1.4051188489283
-49.38563;-1.40491736828854
-49.36592;-1.40081127087935
-49.34622;-1.39599079133768
-49.32651;-1.39428843665756
-49.3068;-1.39574370178909
-49.2871;-1.39398168140939
-49.2674;-1.39169680583374
-49.24769;-1.39429095297665
-49.22798;-1.39869025422485
-49.20827;-1.39888922020805
-49.18857;-1.39661373800377
-49.16886;-1.39765123747742
-49.14915;-1.39933010130866
-49.12945;-1.3984105917766
-49.10974;-1.39982044190169
-49.09003;-1.40176875425137
-49.07033;-1.4012226459291
-49.05062;-1.40049627754713
-49.03092;-1.40041613011324
-49.01121;-1.40243333319696
-48.9915;-1.40476586589757
-48.9718;-1.40690631472904
-48.95209;-1.40802896740115
-48.93238;-1.40755445376004
-48.91268;-1.40771346243542
-48.89297;-1.40955988423429
-48.87326;-1.40647535040552
-48.85356;-1.3985295072797
-48.83385;-1.39040484735976
-48.81414;-1.38579605783211
-48.79444;-1.38663030761763
-48.77473;-1.39055076779579
-48.75503;-1.39363452617728
-48.73532;-1.39526376944451
-48.71561;-1.39778096940568
-48.69591;-1.40046986483482
-48.6762;-1.39904741684886
-48.65649;-1.3969408252638
-48.63679;-1.39599764491377
-48.61708;-1.3957721896142
-48.59737;-1.39562351031326
-48.57767;-1.3960204129814
-48.55796;-1.39728191285909
-48.53825;-1.39888272617964
-48.51855;-1.39647832984989
-48.49884;-1.39276159682057
-48.47914;-1.39325152841219
-48.45943;-1.39355899252403
-48.43972;-1.38761333851631
-48.42002;-1.38005962440362
-48.40031;-1.38228679076376
-48.3806;-1.39152178320864
-48.3609;-1.39584877360052
-48.34119;-1.3942877488202
-48.32148;-1.39360459909581
-48.30178;-1.39765263830012
-48.28207;-1.40039582598678
-48.26237;-1.39930421897125
-48.24266;-1.39790770038638
-48.22295;-1.39801437686288
-48.20325;-1.39691488845932
-48.18354;-1.39661046295279
-48.16383;-1.39524905774032
-48.14413;-1.39023322713462
-48.12442;-1.38767523695373
-48.10471;-1.38975328953823
-48.08501;-1.39283003691985
-48.0653;-1.39581775095823
-48.04559;-1.39871343560384
-48.02589;-1.40052362467642
-48.00618;-1.39996540206488
-47.98648;-1.39843955112286
-47.96677;-1.39538658606117
-47.94706;-1.38907664048788
-47.92736;-1.3828806623799
-47.90765;-1.38175281941127
-47.88794;-1.38290348795801
-47.86824;-1.38541359671424
-47.84853;-1.38641801371646
-47.82882;-1.38805719113567
-47.80912;-1.39081860505787
-47.78941;-1.3902213892786
-47.7697;-1.38453034987854
-47.75;-1.3802321647743
-47.73029;-1.38378452277709
-47.71059;-1.39268152221739
-47.69088;-1.39744183363251
-47.67117;-1.39805840644724
-47.65147;-1.39757979817816
-47.63176;-1.39824244866763
-47.61205;-1.40163658996465
-47.59235;-1.40482410415338
-47.57264;-1.4005284797938
-47.55293;-1.39180639159078
-47.53323;-1.38611672833463
-47.51352;-1.38248661631664
-47.49382;-1.38237291269095
-47.47411;-1.38601247836135
-47.4544;-1.38902529228316
-47.4347;-1.39092411332836
-47.41499;-1.3930151884665
-47.39528;-1.39616921160318
-47.37558;-1.39917570946826
-47.35587;-1.39954250244296
-47.33616;-1.39814102675788
-47.31646;-1.39498826220085
-47.29675;-1.39297587312676
-47.27704;-1.39138538866751
-47.25734;-1.38803897873667
-47.23763;-1.38543438018203
-47.21793;-1.38255474787226
-47.19822;-1.38008932103679
-47.17851;-1.38277859668722
-47.15881;-1.39050144329254
-47.1391;-1.3922251557662
-47.11939;-1.39037563084297
-47.09969;-1.3918057711372
-47.07998;-1.39235642943714
-47.06027;-1.39447654482056
-47.04057;-1.39691829169571
-47.02086;-1.3979757023172
-47.00115;-1.39964382158323
-46.98145;-1.3975994477145
-46.96174;-1.39552496185578
-46.94204;-1.3953171157449
-46.92233;-1.39306692287771
-46.90262;-1.38796708747815
-46.88292;-1.3820257645069
-46.86321;-1.37947540190861
-46.8435;-1.37991001762881
-46.8238;-1.37977056338602
-46.80409;-1.38276047673425
-46.78438;-1.38547395350655
-46.76468;-1.3866506993669
-46.74497;-1.38517070382857
-46.72527;-1.38483936750449
-46.70556;-1.38557037142463
-46.68585;-1.38337556979556
-46.66615;-1.37859154795274
-46.64644;-1.3745848306648
-46.62673;-1.37256287454028
-46.60703;-1.37106392836311
-46.58732;-1.37052670900196
-46.56761;-1.37461467482007
-46.5479;-1.38159085860079
-46.5282;-1.38770441853474
-46.50849;-1.38960230116631
-46.48878;-1.38828375622758
-46.46908;-1.3877760459001
-46.44938;-1.38710535110689
-46.42967;-1.39005885554056
-46.40996;-1.39503851029843
-46.39025;-1.39612656164681
-46.37055;-1.39462369397806
-46.35084;-1.39204692377947
-46.33113;-1.38843854627605
-46.31143;-1.384249545949
-46.29172;-1.37975519002596
-46.27201;-1.37922914040976
-46.25231;-1.37948121184393
-46.2326;-1.37906005030996
-46.2129;-1.38035844310856
-46.19319;-1.38017404861328
-46.17348;-1.38064670085913
-46.15378;-1.38061535911101
-46.13407;-1.378466684416
-46.11436;-1.37732165475287
-46.09466;-1.38022282859663
-46.07495;-1.38574587756758
-46.05524;-1.38873071492293
-46.03554;-1.38686559245151
-46.01583;-1.38567197561407
-45.99612;-1.38513120624552
-45.97642;-1.38427745943376
-45.95671;-1.38660811055476
-45.93701;-1.38746261111076
-45.9173;-1.38431192406962
-45.89759;-1.37897119183931
-45.87789;-1.3740350828764
-45.85818;-1.37457991294633
-45.83847;-1.37572416065805
-45.81877;-1.37601625306015
-45.79906;-1.37879865541543
-45.77935;-1.38358720110872
-45.75965;-1.3880262001197
-45.73994;-1.38746311487246
-45.72023;-1.38128422563711
-45.70053;-1.37380290994662
-45.68082;-1.37258599524618
-45.66112;-1.3740482123834
-45.64141;-1.37505326253785
-45.6217;-1.38081862016208
-45.602;-1.38714246623761
-45.58229;-1.39167787706948
-45.56258;-1.39226288957678
-45.54288;-1.39067616519054
-45.52317;-1.38991044865154
-45.50346;-1.38877406713597
-45.48376;-1.39053884278959
-45.46405;-1.39385147722538
-45.44434;-1.39123413109192
-45.42464;-1.38805046756569
-45.40493;-1.38668457513417
-45.38523;-1.3840816685839
-45.36552;-1.38141611923509
-45.34581;-1.38122002608333
-45.32611;-1.37994577930241
-45.3064;-1.37660855355732
-45.28669;-1.3744422259394
-45.26699;-1.3737569823805
-45.24728;-1.3739563221599
-45.22757;-1.37658568514196
-45.20787;-1.37806179195665
-45.18816;-1.37636398832812
-45.16846;-1.37285383067126
-45.14875;-1.37165456942737
-45.12904;-1.37342145262588
