Frequency(ppm);Intensity
-51.4351;-1.55831306333005
-51.41539;-1.55871304278901
-51.39569;-1.55950927362812
-51.37598;-1.5611878572609
-51.35627;-1.5604142863791
-51.33657;-1.56053708672675
-51.31686;-1.56126514254565
-51.29716;-1.56250003256892
-51.27745;-1.56740407413039
-51.25774;-1.57146590844473
-51.23804;-1.57183688613395
-51.21833;-1.5708123172446
-51.19862;-1.56794786192108
-51.17892;-1.56737152577458
-51.15921;-1.56784069834744
-51.1395;-1.56524572025335
-51.1198;-1.56308589721391
-51.10009;-1.56341094193154
-51.08039;-1.56279519681783
-51.06068;-1.56152695748504
-51.04097;-1.56086012603199
-51.02127;-1.56197714970086
-51.00156;-1.56235016315472
-50.98185;-1.56368283556725
-50.96215;-1.5649097461253
-50.94244;-1.56246427760715
-50.92273;-1.55763190430437
-50.90303;-1.5569837816019
-50.88332;-1.56029285716331
-50.86361;-1.56290790782259
-50.84391;-1.56522383180727
-50.8242;-1.56557667611058
-50.8045;-1.56465760500236
-50.78479;-1.56505236003586
-50.76508;-1.56365358935646
-50.74538;-1.56134080285264
-50.72567;-1.56133353442491
-50.70596;-1.56292586911665
-50.68626;-1.56239079593622
-50.66655;-1.56432079381214
-50.64684;-1.56636538430391
-50.62714;-1.56405489210899
-50.60743;-1.56061900132324
-50.58772;-1.5603390201709
-50.56802;-1.56065267804529
-50.54831;-1.55838903989282
-50.52861;-1.55541929021841
-50.5089;-1.5592090061872
-50.48919;-1.56711375729152
-50.46949;-1.57080571895386
-50.44978;-1.56880149585279
-50.43007;-1.56726092608235
-50.41037;-1.56856053843272
-50.39066;-1.56712983886913
-50.37095;-1.56110200459128
-50.35125;-1.55673792686717
-50.33154;-1.55731302672885
-50.31184;-1.56029656384437
-50.29213;-1.56156224951739
-50.27242;-1.55812836624773
-50.25272;-1.55375792005594
-50.23301;-1.55444424130866
-50.2133;-1.55556048971736
-50.1936;-1.55634719031517
-50.17389;-1.55905034675265
-50.15418;-1.5621649157981
-50.13448;-1.55812014955047
-50.11477;-1.55248204686541
-50.09506;-1.55035796819042
-50.07536;-1.55264021984377
-50.05565;-1.55603232029249
-50.03595;-1.56097454455558
-50.01624;-1.56617955371344
-49.99653;-1.56925978431308
-49.97683;-1.56603715662497
-49.95712;-1.56139799947887
