Frequency(ppm);Intensity
-51.4351;-1.08294584513871
-51.41539;-1.08712021917461
-51.39569;-1.08902584096715
-51.37598;-1.08751432021439
-51.35627;-1.08509625128463
-51.33657;-1.08634066018073
-51.31686;-1.08855576118579
-51.29716;-1.09064108537944
-51.27745;-1.09146801554325
-51.25774;-1.08737733688813
-51.23804;-1.08016488797881
-51.21833;-1.0746984810773
-51.19862;-1.07472682600621
-51.17892;-1.07661371675912
-51.15921;-1.08039865776957
-51.1395;-1.08074164450462
-51.1198;-1.0785047706828
-51.10009;-1.07670419282008
-51.08039;-1.07692155464302
-51.06068;-1.08052176010318
-51.04097;-1.08422030303961
-51.02127;-1.08449055769927
-51.00156;-1.08435685598551
-50.98185;-1.0845699788284
-50.96215;-1.08275160606311
-50.94244;-1.07911767406878
-50.92273;-1.07526405983737
-50.90303;-1.07317180817472
-50.88332;-1.06995187404619
-50.86361;-1.06438252615852
-50.84391;-1.06215965016896
-50.8242;-1.06816013825683
-50.8045;-1.07428970057045
-50.78479;-1.07995918480571
-50.76508;-1.08593609966867
-50.74538;-1.08564989369698
-50.72567;-1.08149382319706
-50.70596;-1.0794245385911
-50.68626;-1.08091932726507
-50.66655;-1.07956093964605
-50.64684;-1.07504543645415
-50.62714;-1.0718360343864
-50.60743;-1.07195819789605
-50.58772;-1.07582327871376
-50.56802;-1.08054909324224
-50.54831;-1.08452884059897
-50.52861;-1.08712274303714
-50.5089;-1.08698372125064
-50.48919;-1.08691651423916
-50.46949;-1.08815429452635
-50.44978;-1.08799027206439
-50.43007;-1.08619405489013
-50.41037;-1.0842206474228
-50.39066;-1.08081918817331
-50.37095;-1.07771284599572
-50.35125;-1.07526825968849
-50.33154;-1.0748885369533
-50.31184;-1.07729607373634
-50.29213;-1.08249785436564
-50.27242;-1.08684907333799
-50.25272;-1.08645282969154
-50.23301;-1.08212491532478
-50.2133;-1.07686727694569
-50.1936;-1.0736238611123
-50.17389;-1.07411618347457
-50.15418;-1.07448832045846
-50.13448;-1.0737385089017
-50.11477;-1.07106551262252
-50.09506;-1.06722376704296
-50.07536;-1.06277068550066
-50.05565;-1.05974400352172
-50.03595;-1.05673981369862
-50.01624;-1.05663527866891
-49.99653;-1.05899513543262
-49.97683;-1.06440689097107
-49.95712;-1.07239678033954
-49.93741;-1.07943231255728
-49.91771;-1.08232892000651
-49.898;-1.08197307855102
-49.87829;-1.08065654679597
-49.85859;-1.08053594052132
-49.83888;-1.07859865579964
-49.81917;-1.07801519217371
-49.79947;-1.07854165302917
-49.77976;-1.07764375336378
-49.76006;-1.0758014433101
-49.74035;-1.075260466552
-49.72064;-1.07323097032924
-49.70094;-1.07113134652365
-49.68123;-1.07229676044536
-49.66152;-1.07968239013491
-49.64182;-1.09036211737801
-49.62211;-1.09427868787972
-49.6024;-1.08985063078418
-49.5827;-1.08339779364308
-49.56299;-1.07832989987968
-49.54329;-1.07620940675697
-49.52358;-1.07730039660375
-49.50387;-1.08085487317647
-49.48417;-1.0812609254103
-49.46446;-1.07949106741715
-49.44475;-1.07857343062235
-49.42505;-1.07931171146327
-49.40534;-1.07820643862666
-49.38563;-1.07412582344877
-49.36592;-1.07008535843269
-49.34622;-1.06880582340634
-49.32651;-1.06962912735201
-49.3068;-1.06817019737741
-49.2871;-1.06389394480434
-49.2674;-1.06191932615019
-49.24769;-1.06382330465329
-49.22798;-1.0691894382472
-49.20827;-1.07354347922716
-49.18857;-1.07129898733836
-49.16886;-1.06827777744863
-49.14915;-1.06809439436823
-49.12945;-1.07015327500012
-49.10974;-1.07228159667334
-49.09003;-1.07049223783783
-49.07033;-1.06428746607227
-49.05062;-1.05780414617337
-49.03092;-1.0550753056025
-49.01121;-1.05721663051098
-48.9915;-1.06122538740618
-48.9718;-1.06375058301094
-48.95209;-1.06539173218636
-48.93238;-1.06623027743654
-48.91268;-1.06647353791673
-48.89297;-1.0664171677627
-48.87326;-1.06725470208701
-48.85356;-1.0657412942372
-48.83385;-1.06661297994646
-48.81414;-1.07014050484558
-48.79444;-1.07223760899756
-48.77473;-1.07013957330952
-48.75503;-1.06358747213502
-48.73532;-1.05570636628529
-48.71561;-1.05413940121192
-48.69591;-1.05609537031169
-48.6762;-1.05626819543816
-48.65649;-1.05765364214799
-48.63679;-1.0586503730045
-48.61708;-1.06009409653615
-48.59737;-1.06258927155622
-48.57767;-1.06458016863747
-48.55796;-1.06763160141341
-48.53825;-1.07028809112875
-48.51855;-1.0715514468104
-48.49884;-1.07101913059906
-48.47914;-1.06888058238366
-48.45943;-1.06349142307248
-48.43972;-1.06085918892898
-48.42002;-1.06179287161855
-48.40031;-1.06334056102208
-48.3806;-1.06451876706069
-48.3609;-1.06460912335743
-48.34119;-1.06496547030725
-48.32148;-1.06746154529374
-48.30178;-1.06852462536432
-48.28207;-1.06678295829092
-48.26237;-1.06330492171042
-48.24266;-1.06135737452448
-48.22295;-1.06007071338891
-48.20325;-1.06116262873221
-48.18354;-1.06664547939081
-48.16383;-1.06960656453894
-48.14413;-1.06916910078572
-48.12442;-1.06598122858881
-48.10471;-1.0641357317511
-48.08501;-1.06342360235587
-48.0653;-1.06361801484048
-48.04559;-1.06467851898259
-48.02589;-1.06717595953818
-48.00618;-1.06963985347169
-47.98648;-1.06826248545149
-47.96677;-1.06266547619973
-47.94706;-1.06001817959641
-47.92736;-1.05861882428361
-47.90765;-1.05474568684445
-47.88794;-1.05389542589587
-47.86824;-1.05882375955722
-47.84853;-1.06405815732236
-47.82882;-1.0658421654138
-47.80912;-1.06502455598201
-47.78941;-1.06456530501975
-47.7697;-1.06540403693949
-47.75;-1.06569768760956
-47.73029;-1.06563330256382
-47.71059;-1.06810354096256
-47.69088;-1.07044936857296
-47.67117;-1.0721891201318
-47.65147;-1.07256184783907
-47.63176;-1.07144439175649
-47.61205;-1.07187986218033
-47.59235;-1.07426964886688
-47.57264;-1.07721792997541
-47.55293;-1.0787568335093
-47.53323;-1.07807230236818
-47.51352;-1.07535725198864
-47.49382;-1.07108434321947
-47.47411;-1.06793582527728
-47.4544;-1.06670747380427
-47.4347;-1.06741103423723
-47.41499;-1.06852660798374
-47.39528;-1.06643605944977
-47.37558;-1.06562900579273
-47.35587;-1.06651760329114
-47.33616;-1.06967769588625
-47.31646;-1.07139270172578
-47.29675;-1.06814052443577
-47.27704;-1.06603429036866
-47.25734;-1.06514340886276
-47.23763;-1.06493322222941
-47.21793;-1.06760789181858
-47.19822;-1.06728339558864
-47.17851;-1.06287661415278
-47.15881;-1.05873886682001
-47.1391;-1.05519837769486
-47.11939;-1.05566354560503
-47.09969;-1.05967132726275
-47.07998;-1.06004925184446
-47.06027;-1.062250130189
-47.04057;-1.06326205513025
-47.02086;-1.06429648249677
-47.00115;-1.06611676968655
-46.98145;-1.0642293514369
-46.96174;-1.06221046960374
-46.94204;-1.06262026727096
-46.92233;-1.06437357724278
-46.90262;-1.06687731208991
-46.88292;-1.06789809100142
-46.86321;-1.06576128855887
-46.8435;-1.0641739012261
-46.8238;-1.06478251017825
-46.80409;-1.06814900907994
-46.78438;-1.07198348073399
-46.76468;-1.07307181497853
-46.74497;-1.07296373920461
-46.72527;-1.07291614911919
-46.70556;-1.07101442157149
